,General_Health,Checkup,Exercise,Heart_Disease,Skin_Cancer,Other_Cancer,Depression,Diabetes,Arthritis,Sex,Age_Category,Height_(cm),Weight_(kg),BMI,Smoking_History,Alcohol_Consumption,Fruit_Consumption,Green_Vegetables_Consumption,FriedPotato_Consumption
General_Health,1.0,-0.09729534529712462,0.262209457491382,-0.21575758942672751,-0.04480997902851864,-0.13717779011734366,-0.1984824941185726,-0.2564956521030397,-0.25862332772569874,0.017596590893882175,-0.1483050766846745,0.06358677848301433,-0.17636422268983004,-0.24543440645649692,-0.1634951229426349,0.1731711382084363,0.11936249071095957,0.1511961214091159,-0.03298561165630055
Checkup,-0.09729534529712462,1.0,-0.03932561413595925,0.09385047431978129,0.0871791672379861,0.09575906261574937,0.03293810995403995,0.14230776144393387,0.1654639810311871,-0.09772983270567731,0.24899965646385105,-0.0915632822057805,0.015827205221277344,0.07374445124542214,0.002100239020229946,-0.06687762063926739,0.048229255316490485,0.05415573332955804,-0.07140062642844636
Exercise,0.262209457491382,-0.03932561413595925,1.0,-0.09634680083962815,-0.003985955779314932,-0.05438809677364429,-0.08472944958541792,-0.13840558263437366,-0.12481329149739259,0.05934433548341075,-0.1063338992140274,0.09103260293967566,-0.07667464424734073,-0.14098193426224714,-0.09329463158512845,0.1536177998680262,0.1637229352989461,0.16880687300820987,-0.022119256329908354
Heart_Disease,-0.21575758942672751,0.09385047431978129,-0.09634680083962815,1.0,0.09084849658745214,0.09238708026537716,0.03252583145998579,0.17220414100629033,0.15391343123261922,0.07259457679223429,0.2145743528757816,0.020725427378390098,0.051519765527141465,0.050371566196435104,0.10779696699567608,-0.07538375205513029,-0.022981227022907547,-0.027342872806939676,-0.02364956599934428
Skin_Cancer,-0.04480997902851864,0.0871791672379861,-0.003985955779314932,0.09084849658745214,1.0,0.15082402320069035,-0.013013646478763427,0.03448585883993672,0.13617757431851846,0.009678110479802002,0.2581530118440273,0.007694269940076819,-0.0228870052547756,-0.031430729930092605,0.03282777047059792,0.01250213290047768,0.030279603384883357,0.030160480715504756,-0.053634669156520036
Other_Cancer,-0.13717779011734366,0.09575906261574937,-0.05438809677364429,0.09238708026537716,0.15082402320069035,1.0,0.015891619838561504,0.06605471343811646,0.12936248110222817,-0.04204398458582884,0.22343338353732875,-0.04371781366703029,-0.017563783144556873,0.003780226388841006,0.053431109800697686,-0.03929232353222654,0.00997165693630057,0.0017741358388577942,-0.054233472475099534
Depression,-0.1984824941185726,0.03293810995403995,-0.08472944958541792,0.03252583145998579,-0.013013646478763427,0.015891619838561504,1.0,0.0489772027999085,0.12159795591305976,-0.1414498950643049,-0.09888111725836334,-0.09622635058904501,0.03462476030042204,0.08954130503527996,0.10027461452672908,-0.03448140637863712,-0.05308555458410897,-0.06795726066842665,0.014543807929347384
Diabetes,-0.2564956521030397,0.14230776144393387,-0.13840558263437366,0.17220414100629033,0.03448585883993672,0.06605471343811646,0.0489772027999085,1.0,0.13331969102820218,-0.0008388436264071315,0.18449345402620307,-0.029848347205973416,0.15487590715096403,0.1980235104315082,0.05462228678886436,-0.15108495157297855,-0.021043283148338546,-0.03815861930688774,-0.014042868796282594
Arthritis,-0.25862332772569874,0.1654639810311871,-0.12481329149739259,0.15391343123261922,0.13617757431851846,0.12936248110222817,0.12159795591305976,0.13331969102820218,1.0,-0.10005313718512471,0.34746755157742165,-0.09939497525699792,0.06976166968951768,0.1394545621267333,0.12319594753960394,-0.0770894900030369,-0.0016923550043121253,-0.013271936104868496,-0.07832644588145049
Sex,0.017596590893882175,-0.09772983270567731,0.05934433548341075,0.07259457679223429,0.009678110479802002,-0.04204398458582884,-0.1414498950643049,-0.0008388436264071315,-0.10005313718512471,1.0,-0.05311392378132712,0.7264712379480351,0.39668794443438304,0.048477035398183405,0.0734021540850348,0.12866677136564253,-0.097289516891214,-0.08300598889583431,0.1847860403762653
Age_Category,-0.1483050766846745,0.24899965646385105,-0.1063338992140274,0.2145743528757816,0.2581530118440273,0.22343338353732875,-0.09888111725836334,0.18449345402620307,0.34746755157742165,-0.05311392378132712,1.0,-0.10883143636836055,-0.0488941540217561,0.011286343959159232,0.11824207797825688,-0.0906349148022619,0.053572330091242314,0.06422735582989435,-0.20078065383787008
Height_(cm),0.06358677848301433,-0.0915632822057805,0.09103260293967566,0.020725427378390098,0.007694269940076819,-0.04371781366703029,-0.09622635058904501,-0.029848347205973416,-0.09939497525699792,0.7264712379480351,-0.10883143636836055,1.0,0.5075130498639006,0.013969255435325493,0.054334915256253606,0.14997798069616744,-0.05044692520573391,-0.0315396350563327,0.17001014846328527
Weight_(kg),-0.17636422268983004,0.015827205221277344,-0.07667464424734073,0.051519765527141465,-0.0228870052547756,-0.017563783144556873,0.03462476030042204,0.15487590715096403,0.06976166968951768,0.39668794443438304,-0.0488941540217561,0.5075130498639006,1.0,0.8463610831367324,0.05356941294688326,-0.005281356409624872,-0.09955013217231541,-0.07576539036761439,0.1641834530909186
BMI,-0.24543440645649692,0.07374445124542214,-0.14098193426224714,0.050371566196435104,-0.031430729930092605,0.003780226388841006,0.08954130503527996,0.1980235104315082,0.1394545621267333,0.048477035398183405,0.011286343959159232,0.013969255435325493,0.8463610831367324,1.0,0.030874053244842794,-0.09538025062722913,-0.08911813901457616,-0.07151777464774944,0.09305424246498117
Smoking_History,-0.1634951229426349,0.002100239020229946,-0.09329463158512845,0.10779696699567608,0.03282777047059792,0.053431109800697686,0.10027461452672908,0.05462228678886436,0.12319594753960394,0.0734021540850348,0.11824207797825688,0.054334915256253606,0.05356941294688326,0.030874053244842794,1.0,0.0615506504601221,-0.10560517511711884,-0.03916712472952416,0.03027692388054853
Alcohol_Consumption,0.1731711382084363,-0.06687762063926739,0.1536177998680262,-0.07538375205513029,0.01250213290047768,-0.03929232353222654,-0.03448140637863712,-0.15108495157297855,-0.0770894900030369,0.12866677136564253,-0.0906349148022619,0.14997798069616744,-0.005281356409624872,-0.09538025062722913,0.0615506504601221,1.0,0.006986910156314412,0.1016992042089493,0.07117315491808746
Fruit_Consumption,0.11936249071095957,0.048229255316490485,0.1637229352989461,-0.022981227022907547,0.030279603384883357,0.00997165693630057,-0.05308555458410897,-0.021043283148338546,-0.0016923550043121253,-0.097289516891214,0.053572330091242314,-0.05044692520573391,-0.09955013217231541,-0.08911813901457616,-0.10560517511711884,0.006986910156314412,1.0,0.30994285480640316,-0.12289078764285115
Green_Vegetables_Consumption,0.1511961214091159,0.05415573332955804,0.16880687300820987,-0.027342872806939676,0.030160480715504756,0.0017741358388577942,-0.06795726066842665,-0.03815861930688774,-0.013271936104868496,-0.08300598889583431,0.06422735582989435,-0.0315396350563327,-0.07576539036761439,-0.07151777464774944,-0.03916712472952416,0.1016992042089493,0.30994285480640316,1.0,-0.09063258290241681
FriedPotato_Consumption,-0.03298561165630055,-0.07140062642844636,-0.022119256329908354,-0.02364956599934428,-0.053634669156520036,-0.054233472475099534,0.014543807929347384,-0.014042868796282594,-0.07832644588145049,0.1847860403762653,-0.20078065383787008,0.17001014846328527,0.1641834530909186,0.09305424246498117,0.03027692388054853,0.07117315491808746,-0.12289078764285115,-0.09063258290241681,1.0
